business_id,average_daily_sales_dollar_volume,average_daily_sales_transactions,age_in_months,state,type,debt,credit_score,expense_to_income_ratio,offer_size,offer_fee
37,24.22,59,33.1,AZ,restaurant,31323.48,746.0,1.0902125427453706,844.0,59.0
38,145.71,81,72.4,IA,plumber,198.8,588.0,0.8464500950289499,32856.0,1631.0
39,283.28,89,29.9,OK,restaurant,3001.4,651.0,0.7668142036215077,61331.0,7959.0
40,181.66,60,76.5,MI,laundromat,2778.89,644.0,0.8281155251530155,46088.0,2928.0
41,260.03,74,25.5,IN,auto repair,6535.9,642.0,1.0985679364719954,13648.0,1267.0
42,67.0,66,85.7,MD,plumber,14788.94,602.0,0.8173211073915102,16295.0,511.0
43,264.73,54,39.4,FL,restaurant,17405.08,673.0,0.8926629105637941,50221.0,4793.0
44,83.19,92,16.9,WI,restaurant,26128.91,632.0,0.8379294311035668,6527.0,463.0
45,636.78,28,79.9,AL,auto repair,16420.59,601.0,0.38476695153921275,167559.0,19416.0
46,96.86,23,12.8,SD,laundromat,259.93,799.0,0.7243150422437593,22408.0,967.0
47,428.0,71,28.0,CO,movers,66642.92,577.0,0.8005781268338888,56457.0,7963.0
48,15.78,54,61.6,NV,delivery,116.39,648.0,0.7606759476510868,3309.0,193.0
49,36.67,31,43.0,DC,plumber,6597.94,534.0,0.3558522235241072,7801.0,491.0
50,517.54,77,49.3,UT,auto repair,13704.7,738.0,0.9998308934159016,120723.0,17951.0
51,2.85,50,15.9,AR,plumber,804.91,631.0,0.8072868118478369,257.0,11.0
52,52.93,38,79.4,ND,plumber,6486.18,554.0,1.055791626216299,13087.0,982.0
53,14.96,74,49.9,OH,restaurant,33388.33,611.0,0.945063055532001,484.0,42.0
54,806.8,21,42.0,VT,childcare center,251.97,589.0,0.9913301506814886,129126.0,14827.0
55,30.56,109,58.3,HI,childcare center,578.51,575.0,0.8226803004898142,6937.0,258.0
56,11.11,52,13.9,AL,restaurant,360.53,549.0,1.1901382547682349,349.0,37.0
57,8.06,84,22.4,VA,childcare center,11715.82,563.0,0.9098829935237676,252.0,34.0
58,304.69,16,72.0,NY,auto repair,43.87,609.0,0.8143748383211838,65406.0,5123.0
59,456.23,85,28.2,CT,restaurant,21.15,781.0,0.5813945663213522,96728.0,10720.0
60,128.47,47,80.6,DE,electrician,145731.03,605.0,0.891747146283305,29530.0,1976.0
61,310.55,44,50.7,RI,auto repair,78144.54,696.0,1.0785325544011986,53852.0,5675.0
62,184.98,51,96.9,KS,plumber,2184.06,637.0,0.7557424635334434,39039.0,2265.0
63,47.54,68,23.6,MO,childcare center,1015.01,774.0,0.43921237513083,10983.0,647.0
64,34.26,40,53.9,FL,restaurant,394.87,658.0,0.580022665277043,7665.0,282.0
65,83.2,93,116.0,TX,plumber,411.21,619.0,0.6914565723383824,20985.0,864.0
66,69.56,108,12.3,DC,plumber,10772.58,672.0,0.741689638287716,8752.0,310.0
67,826.44,89,16.9,NM,movers,1170.41,679.0,0.5590891308354806,175948.0,23821.0
68,40.73,87,7.4,MO,cleaner,1481.34,540.0,0.5959665663845788,6049.0,306.0
69,59.32,31,86.9,IN,restaurant,227.56,736.0,0.851414928116326,13846.0,894.0
70,46.41,41,42.8,OH,restaurant,3441.29,666.0,0.5045920014310729,11497.0,582.0
71,77.81,25,21.9,ND,cleaner,6552.59,759.0,0.48702216828588507,17425.0,1016.0
72,15.33,25,47.6,OH,childcare center,1009.33,610.0,0.9518339407527362,2628.0,158.0
73,19.74,63,30.0,NY,restaurant,2973.48,737.0,0.5903342718914694,4439.0,277.0
74,65.9,67,60.5,NV,auto repair,7730.93,599.0,0.6134710299812913,14749.0,608.0
75,617.51,33,21.8,SD,cleaner,1506.63,707.0,0.8666245619461891,92646.0,10543.0
76,11.42,22,37.3,VA,plumber,37635.07,589.0,0.4430026697361959,394.0,34.0
77,168.35,79,33.1,ND,restaurant,418124.47,822.0,0.4185250898173351,26727.0,898.0
78,97.25,99,88.1,ID,auto repair,399.48,578.0,0.5039372676776352,25660.0,1235.0
79,14.35,64,68.7,AZ,movers,27183.87,658.0,1.1680765231881176,517.0,33.0
80,123.53,67,109.1,UT,restaurant,22569.59,709.0,1.1420437363430263,31432.0,1611.0
81,1315.28,74,68.5,VT,restaurant,348.13,558.0,0.8278760158600097,297780.0,38495.0
82,1012.58,50,10.8,CT,restaurant,30232.76,678.0,0.9038852662596543,76688.0,9640.0
83,91.93,32,56.3,HI,restaurant,6891.68,697.0,0.7039091768693534,21878.0,1408.0
84,11.51,66,25.2,OK,plumber,26710.45,752.0,0.9066872623303524,355.0,30.0
85,69.92,55,24.5,WV,restaurant,210.03,738.0,1.0100891671631709,7570.0,278.0
86,108.86,61,15.0,CT,childcare center,23325.81,646.0,0.32907163637905923,24888.0,1453.0
87,270.0,64,56.4,CO,plumber,1970.68,603.0,1.0129351351359064,60332.0,6573.0
88,15.48,30,22.8,MS,childcare center,4694.41,600.0,0.8801525708580944,1052.0,60.0
89,85.87,21,86.7,NC,cleaner,2580.99,711.0,0.5630749544037322,21436.0,1246.0
90,130.98,56,28.0,WI,restaurant,3332.05,771.0,0.9118369246587867,24757.0,1058.0
91,33.45,21,59.3,NM,plumber,1254.9,807.0,1.0411860349085185,8680.0,564.0
92,198.85,59,67.7,SC,laundromat,3886.74,681.0,0.5901358644832407,49576.0,2301.0
93,26.17,44,7.8,DC,plumber,1779.12,535.0,0.7226939234789033,2096.0,105.0
94,18.93,42,30.3,ID,plumber,26983.86,647.0,0.62478319141414,1860.0,70.0
95,60.64,20,59.7,LA,laundromat,4816.96,557.0,0.4340207435066192,13225.0,867.0
96,897.52,88,74.4,ID,laundromat,7679.9,601.0,0.8513893912662379,229256.0,27009.0
97,43.04,110,17.2,ND,restaurant,13372.2,672.0,1.0281460124452677,1851.0,105.0
98,410.09,64,43.5,GA,delivery,15063.56,713.0,0.8281121950535413,90955.0,11333.0
99,92.12,17,27.3,MI,electrician,14239.12,638.0,0.7398039781699942,18922.0,777.0
100,134.62,60,69.6,SD,restaurant,2173.19,725.0,1.0555897357064365,31575.0,1711.0
101,52.94,60,18.0,MO,laundromat,95569.61,595.0,1.0193253040321553,1595.0,189.0
102,11.07,91,35.6,VA,auto repair,3306.73,571.0,0.4831465914895474,2774.0,166.0
103,141.84,98,48.2,UT,restaurant,3703.62,743.0,0.8207541197006886,32794.0,1982.0
104,16.49,79,19.2,NM,childcare center,3702.81,700.0,0.7372704791417661,3252.0,116.0
105,115.73,14,97.6,CT,auto repair,88818.96,578.0,0.9743515962189093,23941.0,1659.0
106,95.45,13,83.5,NM,auto repair,467.92,787.0,0.5168512040733518,22940.0,853.0
107,141.13,48,100.1,CA,laundromat,5492.6,765.0,0.3553547505982841,30869.0,1211.0
108,5.79,40,79.4,CT,laundromat,3954.26,714.0,1.0639768832119911,1244.0,38.0
109,199.53,90,45.9,NJ,restaurant,57558.13,727.0,0.8273308620545423,47007.0,3541.0
110,78.66,23,34.7,DE,restaurant,1133.4,543.0,0.7686555973234056,15571.0,1025.0
111,92.19,89,51.4,SC,restaurant,189.28,540.0,0.9951242381255716,14286.0,1251.0
112,81.81,54,49.0,AK,restaurant,47977.88,583.0,0.7603988400208874,16882.0,1137.0
113,162.4,39,30.2,MD,cleaner,78.18,657.0,0.9728488029040595,22549.0,1707.0
114,8.23,10,27.1,SC,restaurant,27900.86,615.0,0.9367529902756304,247.0,35.0
115,259.1,23,15.8,VT,cleaner,542694.42,661.0,1.1418302799346478,7781.0,915.0
116,0.3,64,98.7,ND,laundromat,967.5,807.0,0.803264682832577,60.0,3.0
117,32.51,19,56.1,FL,auto repair,930.33,631.0,0.8613909027291367,7995.0,487.0
118,1082.66,22,34.7,UT,restaurant,6919.62,658.0,0.4812097218109014,286100.0,42351.0
119,14.06,41,108.8,RI,delivery,19322.44,745.0,0.5975089751756022,3620.0,193.0
120,47.74,58,104.4,AZ,electrician,64686.1,746.0,0.6270182352638927,10217.0,577.0
121,27.92,19,62.2,VT,restaurant,417.42,650.0,0.452802957145083,6065.0,209.0
122,245.39,66,63.5,MN,restaurant,8929.1,565.0,0.8481358784301497,54375.0,4378.0
123,39.22,10,46.0,ME,restaurant,5006.49,568.0,0.7990049915978272,8393.0,490.0
124,71.59,46,42.8,LA,restaurant,2269.64,676.0,0.6559782650133977,15562.0,504.0
125,80.31,87,28.9,IA,restaurant,213.49,546.0,1.0258763793455978,4844.0,458.0
126,28.88,54,27.1,AZ,movers,165.94,822.0,0.9186625433669929,6551.0,206.0
127,3.27,65,35.7,LA,laundromat,121724.58,639.0,0.813532731775809,98.0,15.0
128,72.83,84,29.4,KS,laundromat,91903.96,649.0,1.0815900691391744,2288.0,283.0
129,195.71,10,28.0,NE,restaurant,62494.83,812.0,0.42246245601715654,48787.0,1550.0
130,157.19,113,27.8,ND,electrician,1609.61,588.0,0.8724007670108922,18665.0,1147.0
131,562.92,28,36.2,TN,childcare center,125105.16,644.0,0.5875973904780247,122132.0,14662.0
132,13.64,47,107.2,TX,electrician,142741.21,591.0,1.0868655223905348,409.0,46.0
133,16.72,37,14.6,NY,laundromat,6056.5,665.0,0.9834681262476384,700.0,55.0
134,91.59,87,11.4,CO,plumber,206591.55,780.0,0.6400466946060888,3309.0,235.0
135,165.44,17,15.9,LA,plumber,85.62,579.0,0.5817701392141397,29651.0,2408.0
136,262.55,42,14.5,OR,plumber,1725.03,736.0,0.41373542396127383,56357.0,4073.0
137,15.09,20,37.2,ND,delivery,73067.93,583.0,1.0119361384004064,453.0,65.0
138,17.34,68,56.6,NY,electrician,28241.07,636.0,0.7541250123540341,2318.0,108.0
139,247.07,39,30.9,NM,auto repair,135.45,626.0,0.5891919908525185,54297.0,4500.0
140,424.16,25,22.8,RI,auto repair,96.55,816.0,0.7369672694660719,98611.0,12999.0
141,26.65,46,19.7,KS,restaurant,1157.1,702.0,0.18120959495332253,6045.0,324.0
142,277.79,65,44.3,CO,plumber,3475.4,633.0,0.9131442445910417,62590.0,7733.0
143,992.67,8,22.2,MS,restaurant,9971.05,583.0,0.9934901333283612,54622.0,6522.0
144,590.45,101,23.2,TX,movers,42909.56,648.0,0.7263060109048065,102521.0,14209.0
145,31.87,36,39.4,UT,movers,4450.57,553.0,1.0714017371347695,2103.0,183.0
146,11.12,54,18.5,ME,laundromat,111.61,769.0,0.9755895136301316,1269.0,69.0
147,150.13,26,40.8,MT,restaurant,7936.61,541.0,0.39374503271611416,33207.0,1144.0
148,69.04,86,30.5,NM,restaurant,407.81,668.0,1.0160914761022448,8406.0,595.0
149,60.41,44,4.2,WV,movers,3149.08,779.0,1.0109173789066415,3405.0,197.0
150,132.24,87,41.9,MD,auto repair,160989.44,601.0,0.45588901774794904,32738.0,2541.0
151,73.37,108,28.8,RI,restaurant,1318934.75,546.0,0.6510909961513832,2201.0,274.0
152,67.93,69,75.9,MA,plumber,8991.34,706.0,0.6944389651360054,15632.0,492.0
153,185.32,84,54.0,GA,restaurant,96892.77,618.0,0.9730345896090575,31517.0,3018.0
154,12.16,47,28.1,CT,auto repair,676.23,529.0,0.8132866221025826,1534.0,69.0
155,30.3,69,11.9,VA,auto repair,176.28,674.0,1.047894496388504,1344.0,89.0
156,2.3,88,49.4,TN,auto repair,4970.37,637.0,0.726278122084828,128.0,5.0
157,68.46,30,34.4,NJ,restaurant,402.65,672.0,0.9328543411185368,12822.0,570.0
158,99.37,89,77.8,SC,plumber,73389.99,598.0,0.7760295717983535,22995.0,1388.0
159,52.85,75,49.8,RI,laundromat,9371.73,691.0,1.007071899538636,9524.0,407.0
160,10.77,10,96.0,PA,delivery,2205.51,810.0,0.8764388394150435,2755.0,114.0
161,81.13,33,41.7,CA,restaurant,10052.37,524.0,0.6862448007594586,17225.0,1063.0
162,752.31,14,25.8,CT,restaurant,4692.65,620.0,0.7721463804241304,146022.0,19089.0
163,22.97,57,22.3,NY,cleaner,1622.31,679.0,0.9646779500112082,2044.0,80.0
164,20.13,38,27.6,TX,restaurant,589.55,655.0,1.0395971541226983,1495.0,64.0
165,47.59,47,23.6,CO,electrician,8799.97,584.0,0.7011017791204643,7261.0,469.0
166,546.37,83,69.5,NE,cleaner,5573.7,696.0,0.8458936066274457,136965.0,18422.0
167,8.36,22,11.5,GA,plumber,20204.9,665.0,1.0184625192660763,251.0,34.0
168,22.0,97,81.7,LA,childcare center,245.94,791.0,0.7147297900197932,4742.0,275.0
169,350.61,23,42.1,AL,cleaner,359.84,598.0,0.971997803558484,56727.0,6255.0
170,59.86,23,14.8,NJ,restaurant,36521.87,774.0,0.33501775466034933,15470.0,1056.0
171,22.42,99,87.0,LA,laundromat,34699.17,736.0,0.6285941126892307,5352.0,367.0
172,5.99,113,79.5,KY,delivery,1279.73,666.0,0.7895647353683878,1480.0,95.0
173,25.43,64,9.2,OH,auto repair,5143.06,610.0,0.9307458379226639,1095.0,73.0
174,158.94,65,19.6,MA,restaurant,62876.5,712.0,0.8775403147147484,15660.0,1065.0
175,35.25,76,60.8,AK,laundromat,1633.08,769.0,0.7665554719803526,8190.0,501.0
176,10.52,33,55.4,NM,laundromat,18096.33,678.0,0.6316649540131153,2230.0,72.0
177,4.13,77,7.6,OR,auto repair,2166.11,642.0,0.7239035433691517,291.0,19.0
178,441.62,63,45.0,MN,electrician,256.54,621.0,0.7995050020359062,104743.0,15608.0
179,427.45,56,64.8,MD,electrician,4610.96,634.0,0.7114836573054555,98116.0,13296.0
180,426.21,74,76.9,TN,restaurant,5026.94,594.0,0.8785932160674231,112601.0,15499.0
181,12.2,41,7.4,WA,electrician,11444.56,826.0,0.3398470601376768,2730.0,86.0
182,217.63,32,26.0,NC,auto repair,13078.14,654.0,0.5897600297489963,53748.0,5392.0
183,161.06,67,47.9,IA,plumber,51280.85,668.0,1.0173531714236705,22536.0,1602.0
184,68.01,36,66.0,LA,childcare center,149.73,651.0,0.9804041776279342,15405.0,1015.0
185,1512.74,99,18.1,ME,auto repair,41664.9,704.0,0.9089645410430145,192820.0,25187.0
186,16.19,100,30.4,CA,restaurant,633.13,608.0,0.7073742372038718,3830.0,229.0
187,56.87,87,56.2,WV,restaurant,412.81,545.0,0.666584121506912,12153.0,553.0
188,348.79,30,71.1,SD,auto repair,216.59,829.0,0.7828388685748653,82616.0,5750.0
189,443.25,102,8.4,CO,auto repair,85.93,618.0,0.613153006856043,71952.0,8301.0
190,1.51,82,99.1,NC,movers,1219.47,592.0,0.7680047047159997,338.0,11.0
191,11.16,65,53.5,MT,laundromat,25101.52,647.0,0.9005401854895595,414.0,30.0
192,5.57,51,11.0,OK,restaurant,275.77,651.0,0.8743156587586289,409.0,16.0
193,11.92,79,9.2,AL,laundromat,18442.52,544.0,1.0101472931156783,358.0,48.0
194,61.29,12,46.2,UT,electrician,46251.78,690.0,0.641804650845193,12926.0,668.0
195,107.79,67,33.4,MA,restaurant,409.46,562.0,0.8945977453016934,13470.0,838.0
196,37.47,93,47.6,OK,electrician,8958.63,634.0,1.0085837484391826,5829.0,408.0
197,26.03,10,31.2,OR,restaurant,82986.27,602.0,0.8041161293378956,783.0,108.0
198,3715.33,10,30.2,PA,restaurant,1569.09,768.0,0.38480625289448755,985147.0,127808.0
199,321.05,97,6.5,ID,auto repair,41483.18,656.0,0.7833597390710391,28023.0,2732.0
200,161.42,59,23.3,MN,plumber,3534.54,677.0,0.7441207177961788,37013.0,2597.0
201,201.03,76,15.9,TN,restaurant,136.91,685.0,0.6099811682349193,49165.0,3105.0
202,23.92,18,27.7,PA,auto repair,334.17,680.0,0.3837903323078619,5869.0,389.0
203,53.07,61,68.5,NV,cleaner,882.77,641.0,0.8783227169811229,11659.0,417.0
204,38.81,27,31.0,OK,restaurant,4061.38,553.0,0.7764064210581642,6255.0,401.0
205,5.42,60,72.5,CO,restaurant,27718.56,751.0,0.7060438306936474,165.0,16.0
206,2.85,100,16.6,CT,electrician,2355.2,649.0,1.0759349391206334,90.0,11.0
207,11.1,30,13.4,DE,restaurant,633.09,567.0,0.8890772287450134,624.0,51.0
208,133.58,8,14.4,NY,plumber,29621.42,591.0,0.8135071190600002,9413.0,721.0
209,3.79,12,31.9,OK,auto repair,21128.7,701.0,0.9738544974518148,114.0,14.0
210,43.08,48,31.6,WA,restaurant,144.95,670.0,0.7991471624376967,8923.0,469.0
211,24.95,66,86.0,AR,auto repair,6561.62,599.0,0.5520350014741233,5624.0,206.0
212,56.87,48,24.5,CO,restaurant,140.35,804.0,0.7875875225497708,11564.0,736.0
213,15.83,84,30.3,GA,restaurant,5378.87,580.0,0.9941775510407519,841.0,60.0
214,36.63,94,17.7,NE,restaurant,6405.54,623.0,0.9743617082754794,1897.0,96.0
215,36.58,87,28.3,AR,restaurant,3712.33,756.0,0.851308682564328,7088.0,292.0
216,21.28,11,16.8,SC,auto repair,18.6,757.0,0.5890109651516545,5415.0,247.0
217,29.72,47,15.7,AK,restaurant,11898.04,586.0,0.835669441771708,1675.0,134.0
218,19.51,33,27.5,VT,auto repair,2229.0,677.0,1.115860897081924,1117.0,57.0
219,32.38,72,47.3,NJ,movers,466.9,676.0,0.9001407982980174,8029.0,554.0
220,147.06,78,45.3,AZ,restaurant,1214.18,506.0,0.8404059357792918,29389.0,3251.0
221,270.73,35,51.4,NE,restaurant,317.54,569.0,1.0417226308534222,38819.0,4208.0
222,12.94,19,32.4,VT,auto repair,2908.95,657.0,0.5858093978181084,3331.0,146.0
223,4.14,59,48.3,MN,electrician,2445.86,613.0,0.5112574213464971,942.0,44.0
224,42.35,73,81.3,UT,cleaner,208.44,573.0,0.7981212819001015,10506.0,427.0
225,295.79,58,62.9,MI,restaurant,1836.11,603.0,0.8122251207437409,75356.0,8700.0
226,25.24,74,6.9,GA,auto repair,22285.13,808.0,0.39500166021787675,6007.0,379.0
227,181.7,43,10.8,WI,electrician,4211.38,805.0,0.8514708908801883,27462.0,1257.0
228,22.56,30,20.1,LA,auto repair,982.41,572.0,1.1427978153930078,790.0,76.0
229,47.1,25,55.0,MA,plumber,670.18,645.0,0.9602561333596338,10123.0,497.0
230,23.34,80,22.4,VA,restaurant,423.61,556.0,0.9936348691482373,1130.0,68.0
231,54.4,47,13.9,ME,childcare center,473.33,547.0,0.7876310154066516,4313.0,219.0
232,6.99,12,36.5,WY,restaurant,268.61,752.0,0.8909594575951724,1628.0,83.0
233,33.57,101,105.9,MO,restaurant,1484.74,544.0,1.057060927609245,7587.0,486.0
234,24.85,107,113.5,NH,restaurant,6171.3,589.0,0.871965748499419,5671.0,328.0
235,173.13,40,73.5,MI,plumber,926.25,681.0,0.9934180191932181,38636.0,2576.0
236,110.39,13,11.2,NE,plumber,17851.65,577.0,0.5327203126687591,22699.0,1077.0
237,148.43,100,48.8,MO,electrician,27127.26,605.0,0.82317172213585,33402.0,2118.0
238,7.76,71,9.4,MT,auto repair,2854.52,776.0,0.7049730888602113,1302.0,46.0
239,572.08,34,39.1,HI,laundromat,564.07,818.0,1.1132096837569527,110745.0,12616.0
240,48.71,108,71.0,IA,restaurant,100.96,614.0,0.9033881158944125,12547.0,472.0
241,37.88,15,76.1,LA,plumber,1375.2,595.0,0.9738665343210038,9496.0,330.0
242,328.71,24,105.9,NV,restaurant,48751.54,672.0,0.7359348138811963,69192.0,4543.0
243,344.85,87,73.6,MT,restaurant,3.85,615.0,1.1544938818383397,72731.0,8542.0
244,19.51,50,65.1,NE,restaurant,7416.83,553.0,0.7801226468749693,4714.0,211.0
245,31.13,86,41.8,DC,laundromat,2150.94,680.0,1.012777056855702,5648.0,418.0
246,114.38,58,15.1,NM,electrician,1362.23,620.0,1.0683385799215814,4536.0,393.0
247,473.58,16,102.3,ME,laundromat,156.07,685.0,0.6389097070262,125793.0,10098.0
248,123.37,76,39.7,MN,laundromat,1733.86,778.0,0.562166640305479,30862.0,935.0
249,9.51,82,36.9,WA,delivery,13773.99,576.0,0.9103682640463826,340.0,38.0
250,375.14,12,20.0,WI,plumber,25927.73,600.0,0.865785747827371,33069.0,4014.0
251,168.35,28,42.5,UT,restaurant,7134.04,648.0,1.1072674121187325,19472.0,1481.0
252,950.59,73,61.0,ND,restaurant,24027.7,773.0,1.112306186854424,191806.0,21440.0
253,82.13,32,26.9,ND,laundromat,953.79,594.0,0.9859500228976724,6194.0,439.0
254,46.73,27,27.1,OR,cleaner,1049.31,578.0,0.9734379523731683,3532.0,204.0
255,5.69,41,51.6,FL,childcare center,58760.81,561.0,0.8425900338913573,171.0,20.0
256,78.39,18,32.1,AR,plumber,197.42,657.0,1.1623059420595865,4610.0,308.0
257,549.58,15,44.9,DC,delivery,21088.65,778.0,0.9882540182859794,128191.0,17770.0
258,125.36,69,15.5,DC,restaurant,1605.37,792.0,0.9983793124311761,12935.0,753.0
259,175.03,61,65.5,TN,restaurant,1925.54,770.0,0.7846883263133521,42664.0,2012.0
260,12.37,18,42.7,WI,restaurant,2394.2,610.0,0.8935926485936904,2350.0,122.0
261,22.96,81,37.4,FL,restaurant,15293.06,575.0,0.7702101564963059,2998.0,142.0
262,23.69,49,22.1,AR,delivery,900.91,601.0,0.5789713048497324,5158.0,262.0
263,19.49,92,18.9,NE,laundromat,2212.01,758.0,0.8182186136173941,3464.0,131.0
264,1310.46,105,23.7,LA,cleaner,18645.82,715.0,0.9512530522347095,193447.0,27076.0
265,214.19,78,108.5,AZ,laundromat,53847.18,713.0,0.6887246825629998,46014.0,3221.0
266,38.34,26,17.8,IL,restaurant,19745.87,610.0,0.8831984735774138,1853.0,161.0
267,8.56,57,81.1,ND,restaurant,658.51,551.0,0.6862521564053264,1823.0,82.0
268,176.03,80,15.7,TN,delivery,3316.04,668.0,0.4655474167862548,44860.0,2538.0
269,102.04,52,19.7,NC,restaurant,676.56,720.0,0.6774668091575239,21173.0,713.0
270,4.71,85,7.6,NE,childcare center,38474.36,578.0,0.595410116550052,141.0,17.0
271,22.52,33,49.1,CA,restaurant,1145.75,553.0,0.8084254413255786,4863.0,249.0
272,127.27,28,95.1,OK,electrician,2817.3,644.0,0.67317466134689,31842.0,2131.0
273,15.51,75,25.7,OH,cleaner,446.29,672.0,1.1416813756310118,806.0,66.0
274,57.43,82,33.0,PA,restaurant,161806.33,698.0,0.8981893644333233,1740.0,224.0
275,60.09,87,29.2,IL,plumber,988.99,588.0,0.702254111533406,12615.0,663.0
276,428.17,33,33.9,SC,restaurant,4080.63,656.0,0.9620646885152626,70045.0,9042.0
277,244.42,78,58.7,GA,cleaner,14790.99,625.0,0.8970578460966178,57122.0,6590.0
278,16.04,55,20.3,WI,delivery,699.57,743.0,1.0978291191243026,978.0,50.0
279,81.4,82,86.4,LA,laundromat,5834.46,810.0,0.9072547245335204,18578.0,1047.0
280,84.17,74,15.9,TX,auto repair,7406.32,650.0,1.0182813590074062,4023.0,329.0
281,596.06,9,18.8,CA,restaurant,10943.15,645.0,0.8428248242154807,81935.0,9618.0
282,44.72,29,27.2,ID,restaurant,1111.64,719.0,0.9064027643992529,7065.0,474.0
283,512.29,93,36.8,AK,restaurant,81430.31,693.0,0.9194486833969154,99344.0,12851.0
284,785.48,22,3.6,CA,electrician,2614.95,691.0,0.3530151936835201,164471.0,20940.0
285,247.17,82,34.7,OK,auto repair,66.11,769.0,0.9130517121018342,59324.0,6983.0
286,9.35,88,18.4,MI,auto repair,1150.46,710.0,0.9792496588386909,773.0,43.0
287,506.05,9,85.7,HI,laundromat,13211.06,553.0,0.7274321634279904,113662.0,13870.0
288,405.32,32,39.2,TN,restaurant,2153.9,575.0,0.7627770917663915,86922.0,11586.0
289,50.51,73,6.0,MI,restaurant,3438.49,608.0,0.51544761777416,10974.0,775.0
290,33.94,44,14.1,TN,restaurant,4762.01,724.0,0.9730204717943975,2445.0,135.0
291,186.88,44,69.7,IN,laundromat,10018.5,641.0,0.8298822691927593,44945.0,1853.0
292,29.81,74,49.9,AK,restaurant,845.7,735.0,0.32716709964357343,6365.0,219.0
293,55.24,60,8.3,WA,restaurant,13959.34,695.0,0.7773033703470172,5287.0,186.0
294,345.67,47,45.1,OR,plumber,566472.76,524.0,0.8166856643159415,13943.0,1681.0
295,125.52,44,24.5,IL,plumber,15159.87,707.0,0.8317515717647422,23947.0,1603.0
296,3.06,64,26.0,CA,electrician,728.72,691.0,0.9221989929230934,353.0,16.0
